expid,window_fn,count,exp_add,start_second,alpha,const_norm,use_data_perc,accuracy, time
9,1,8,2.4,2,0.02,1,0.2,0.855395232120452,7166
25,1,28,1.2,2,0.02,1,0.2,0.852825627077667,20479
37,1,8,1.7,20,0.02,1,0.2,0.852247720842502,7286
207,1,16,1.3,20,0.02,1,0.5,0.847132970835393,35106
90,1,8,2.4,2,0.02,1,0.33,0.845270011489851,11235
62,1,8,1.4,45,0.02,1,0.2,0.842773135252244,7027
343,1,16,1.45,2,0.02,0,0.33,0.842686120463898,26128
112,1,8,1.1,20,0.02,1,0.33,0.842613214550854,12093
35,1,8,1.4,20,0.02,1,0.2,0.841735410937977,7656
126,1,16,1.3,20,0.02,1,0.33,0.841196136701337,29062
139,1,8,1.1,45,0.02,1,0.33,0.840486137485758,10014
89,1,8,2,2,0.02,1,0.33,0.838611217092713,11006
369,1,16,1.3,20,0.02,0,0.33,0.837652721214365,20084
227,2,8,10,45,0.02,1,0.5,0.837016574585635,15104
8,1,8,2,2,0.02,1,0.2,0.836658354114713,8090
6,1,8,1.45,2,0.02,1,0.2,0.835913312693498,6188
195,1,8,1.3,20,0.02,1,0.5,0.835800472695609,29071
167,1,8,1.4,2,0.02,1,0.5,0.835648432698218,11897
221,1,8,1.2,45,0.02,1,0.5,0.835005574136009,17250
32,1,8,1.2,20,0.02,1,0.2,0.834604821483064,7530
65,2,8,10,45,0.02,1,0.2,0.834554334554335,7383
467,1,8,1.4,45,0.02,0,0.5,0.834465719579988,28117
115,1,8,1.35,20,0.02,1,0.33,0.834136397331357,11691
19,1,16,1.45,2,0.02,1,0.2,0.834105653382762,20193
377,1,28,1.2,20,0.02,0,0.33,0.833956619296933,26055
220,1,8,1.1,45,0.02,1,0.5,0.833703429558352,14968
113,1,8,1.2,20,0.02,1,0.33,0.833681412568825,12158
685,1,8,1.7,20,0.1,1,0.5,0.833597464342314,13527
4,1,8,1.35,2,0.02,1,0.2,0.833592052157715,6303
33,1,8,1.3,20,0.02,1,0.2,0.833281298782391,7703
120,2,8,10,20,0.02,1,0.33,0.833051325437112,10889
83,1,8,1.2,2,0.02,1,0.33,0.832744186046512,8553
45,1,16,1.3,20,0.02,1,0.2,0.832716049382716,17460
58,1,8,1.1,45,0.02,1,0.2,0.832405689548547,8429
424,1,16,1.45,2,0.02,0,0.5,0.832355816226784,39464
21,2,16,60,2,0.02,1,0.2,0.832237871674491,23633
143,1,8,1.4,45,0.02,1,0.33,0.83218347939586,11994
483,2,28,10,45,0.02,0,0.5,0.831995058678196,51464
140,1,8,1.2,45,0.02,1,0.33,0.831671995486176,10339
255,2,8,100,2,0.02,0,0.2,0.830713422007255,7605
194,1,8,1.2,20,0.02,1,0.5,0.830712074303405,19732
73,2,16,10,45,0.02,1,0.2,0.830444374409077,12698
169,1,8,1.7,2,0.02,1,0.5,0.830369189255489,19399
10,2,8,10,2,0.02,1,0.2,0.830188679245283,7513
17,1,16,1.35,2,0.02,1,0.2,0.830112219451372,13028
59,1,8,1.2,45,0.02,1,0.2,0.829942301852414,7417
179,1,16,1.35,2,0.02,1,0.5,0.829570826097742,33502
297,2,28,10,20,0.02,0,0.2,0.829096477794793,19844
711,1,8,1.45,45,0.1,1,0.5,0.829075882794891,19429
133,1,28,1.1,20,0.02,1,0.33,0.828932893289329,34179
96,1,16,1.2,2,0.02,1,0.33,0.828830530889854,22955
201,2,8,10,20,0.02,1,0.5,0.828230665191196,22894
149,2,8,150,45,0.02,1,0.33,0.828197945845005,8987
116,1,8,1.4,20,0.02,1,0.33,0.827948910593539,13727
69,1,16,1.1,45,0.02,1,0.2,0.827764277035237,13412
16,1,16,1.3,2,0.02,1,0.2,0.827748199185719,12016
82,1,8,1.1,2,0.02,1,0.33,0.82773884175581,8436
98,1,16,1.35,2,0.02,1,0.33,0.827496757457847,19201
193,1,8,1.1,20,0.02,1,0.5,0.827315155981331,21489
208,1,16,1.35,20,0.02,1,0.5,0.827099331186525,29032
101,2,16,10,2,0.02,1,0.33,0.826555246053853,24508
88,1,8,1.7,2,0.02,1,0.33,0.826526789059573,13700
199,1,8,1.7,20,0.02,1,0.5,0.826507537688442,29145
205,1,16,1.1,20,0.02,1,0.5,0.826257188302949,37876
177,1,16,1.2,2,0.02,1,0.5,0.826017262638718,35507
127,1,16,1.35,20,0.02,1,0.33,0.82593984962406,23475
44,1,16,1.2,20,0.02,1,0.2,0.825659914057704,18308
350,1,28,1.3,2,0.02,0,0.33,0.825498307634449,26612
450,1,16,1.3,20,0.02,0,0.5,0.825440119018101,28776
95,1,16,1.1,2,0.02,1,0.33,0.825366596838697,17219
39,2,8,10,20,0.02,1,0.2,0.825189681335356,7686
164,1,8,1.2,2,0.02,1,0.5,0.825024437927664,11500
42,2,8,150,20,0.02,1,0.2,0.82488188976378,6789
168,1,8,1.45,2,0.02,1,0.5,0.824815724815725,60300
197,1,8,1.4,20,0.02,1,0.5,0.824420024420024,18829
402,2,28,10,45,0.02,0,0.33,0.824202626641651,35078
34,1,8,1.35,20,0.02,1,0.2,0.823979591836735,7495
24,1,28,1.1,2,0.02,1,0.2,0.823928461301264,27919
166,1,8,1.35,2,0.02,1,0.5,0.823792375512232,13635
342,1,16,1.4,2,0.02,0,0.33,0.823668423922923,26622
97,1,16,1.3,2,0.02,1,0.33,0.823637364654065,23474
150,1,16,1.1,45,0.02,1,0.33,0.823484848484848,25977
458,1,28,1.2,20,0.02,0,0.5,0.823479627614557,36820
91,2,8,10,2,0.02,1,0.33,0.823362362741386,12504
86,1,8,1.4,2,0.02,1,0.33,0.823071216617211,8263
100,1,16,1.45,2,0.02,1,0.33,0.822535211267605,31017
114,1,8,1.3,20,0.02,1,0.33,0.822480765622068,11857
129,2,16,10,20,0.02,1,0.33,0.822314049586777,32019
210,2,16,10,20,0.02,1,0.5,0.8221260815822,35396
321,2,28,10,45,0.02,0,0.2,0.822026163675084,23331
225,1,8,1.45,45,0.02,1,0.5,0.821993379919088,25322
522,1,8,1.45,20,0.1,1,0.2,0.821986258588382,7476
182,2,16,10,2,0.02,1,0.5,0.821791886260571,30108
46,1,16,1.35,20,0.02,1,0.2,0.821549861068231,16729
603,1,8,1.45,20,0.1,1,0.33,0.821541907784207,10993
236,2,16,60,45,0.02,1,0.5,0.821441774491682,31214
693,1,16,1.3,20,0.1,1,0.5,0.820901079806379,37315
806,1,28,1.1,45,0.1,0,0.2,0.820825515947467,21303
451,1,16,1.35,20,0.02,0,0.5,0.820762868781632,26878
1,1,8,1.1,2,0.02,1,0.2,0.820720720720721,5567
2,1,8,1.2,2,0.02,1,0.2,0.820622330689445,5867
20,2,16,10,2,0.02,1,0.2,0.820574162679426,22373
296,1,28,1.2,20,0.02,0,0.2,0.820441988950276,16442
15,1,16,1.2,2,0.02,1,0.2,0.820110701107011,12459
523,1,8,1.7,20,0.1,1,0.2,0.819642315853289,7395
105,1,28,1.1,2,0.02,1,0.33,0.81958174904943,31865
154,2,16,10,45,0.02,1,0.33,0.819290465631929,18221
336,2,8,100,2,0.02,0,0.33,0.819214299013219,10377
629,1,8,1.4,45,0.1,1,0.33,0.819140919366993,12173
163,1,8,1.1,2,0.02,1,0.5,0.819122720551996,11513
586,1,16,1.45,2,0.1,1,0.33,0.819058212829069,26162
94,2,8,150,2,0.02,1,0.33,0.818991097922849,11038
124,1,16,1.1,20,0.02,1,0.33,0.818671121009651,25673
14,1,16,1.1,2,0.02,1,0.2,0.818577197887543,10799
170,1,8,2,2,0.02,1,0.5,0.818561257058679,42575
84,1,8,1.3,2,0.02,1,0.33,0.818438914027149,8710
726,2,28,10,45,0.1,1,0.5,0.818427518427518,52857
85,1,8,1.35,2,0.02,1,0.33,0.818351709960755,8760
602,1,8,1.4,20,0.1,1,0.33,0.818215271389144,11040
31,1,8,1.1,20,0.02,1,0.2,0.818124804013797,5419
630,1,8,1.45,45,0.1,1,0.33,0.818077803203661,13487
1098,1,16,1.3,20,0.4,1,0.33,0.817806935332708,25936
1072,1,16,1.45,2,0.4,1,0.33,0.817272053372869,24675
48,2,16,10,20,0.02,1,0.2,0.817266625991458,20502
196,1,8,1.35,20,0.02,1,0.5,0.817216117216117,18287
74,2,16,60,45,0.02,1,0.2,0.816697473813925,12341
683,1,8,1.4,20,0.1,1,0.5,0.816642120765832,14397
117,1,8,1.45,20,0.02,1,0.33,0.816484345529989,11904
575,1,8,2,2,0.1,1,0.33,0.816253753753754,11048
1009,1,8,1.7,20,0.4,1,0.2,0.816002490660025,6517
235,2,16,10,45,0.02,1,0.5,0.815864727091881,42180
431,1,28,1.3,2,0.02,0,0.5,0.815600243753809,40246
707,1,8,1.2,45,0.1,1,0.5,0.81546594541431,14583
