expid,count,exp,start_second,alpha,use_data_perc,accuracy,time
1,8,1.02,10,0.001,0.330,0.5887215282880235,22110
2,8,1.05,10,0.001,0.330,0.5726689316723291,10884
3,8,1.1,10,0.001,0.330,0.6262663473936269,10844
4,8,1.2,10,0.001,0.330,0.6504799548277809,10280
5,8,1.3,10,0.001,0.330,0.6843885027240278,12092
6,8,1.35,10,0.001,0.330,0.7333951762523191,12186
7,8,1.375,10,0.001,0.330,0.7643593519882179,11486
8,8,1.4,10,0.001,0.330,0.7269516728624535,12405
9,8,1.425,10,0.001,0.330,0.7930644553335846,10813
10,8,1.45,10,0.001,0.330,0.843896934361482,10319
11,8,1.5,10,0.001,0.330,0.750461084470675,9926
12,8,1.7,10,0.001,0.330,0.7329715568862275,12511
13,8,1.85,10,0.001,0.330,0.7636057602393865,9740
14,8,2.0,10,0.001,0.330,0.695071482317532,14593
15,8,2.2,10,0.001,0.330,0.7605272793848408,11685
16,8,2.4,10,0.001,0.330,0.69388134647573,10924
17,16,1.02,10,0.001,0.330,0.5615754437869822,27409
18,16,1.05,10,0.001,0.330,0.600218459858001,24005
19,16,1.1,10,0.001,0.330,0.6510204081632653,26997
20,16,1.2,10,0.001,0.330,0.8091045335331585,20925
21,16,1.3,10,0.001,0.330,0.7540186915887851,21253
22,16,1.35,10,0.001,0.330,0.7485661424606845,23294
23,16,1.375,10,0.001,0.330,0.779510022271715,24920
24,16,1.4,10,0.001,0.330,0.7321024868123587,21216
25,16,1.425,10,0.001,0.330,0.7356819894498869,22065
26,16,1.45,10,0.001,0.330,0.7547274749721913,22982
27,16,1.5,10,0.001,0.330,0.7737607156168468,22584
28,28,1.02,10,0.001,0.330,0.6013538924407672,39841
29,28,1.05,10,0.001,0.330,0.6299461266951514,29338
30,28,1.1,10,0.001,0.330,0.7000741015190811,35629
31,28,1.2,10,0.001,0.330,0.6789756912228614,32014
32,48,1.02,10,0.001,0.330,0.6508085746521248,52389
33,48,1.05,10,0.001,0.330,0.7490650710545999,50978
34,48,1.1,10,0.001,0.330,0.8084903864458405,57980
35,8,1.02,20,0.001,0.330,0.6486636971046771,10934
36,8,1.05,20,0.001,0.330,0.6639283047050037,10760
37,8,1.1,20,0.001,0.330,0.6865837817776953,12273
38,8,1.2,20,0.001,0.330,0.6917137476459511,11461
39,8,1.3,20,0.001,0.330,0.7936507936507936,10448
40,8,1.35,20,0.001,0.330,0.8406330511593669,11518
41,8,1.375,20,0.001,0.330,0.7583410138248848,9582
42,8,1.4,20,0.001,0.330,0.7786018913406267,8678
43,8,1.425,20,0.001,0.330,0.7797585886722377,8544
44,8,1.45,20,0.001,0.330,0.7595078299776287,8982
45,8,1.5,20,0.001,0.330,0.761154357319157,9366
46,8,1.7,20,0.001,0.330,0.7776293185722466,9150
47,8,1.85,20,0.001,0.330,0.7793332105360103,10597
48,8,2.0,20,0.001,0.330,0.7481126864297551,11743
49,8,2.2,20,0.001,0.330,0.7676230286908607,10050
50,16,1.02,20,0.001,0.330,0.6131153701615933,23972
51,16,1.05,20,0.001,0.330,0.6577470059880239,27666
52,16,1.1,20,0.001,0.330,0.7187853640135797,22936
53,16,1.2,20,0.001,0.330,0.7593999240410179,17872
54,16,1.3,20,0.001,0.330,0.7308914221640814,19705
55,16,1.35,20,0.001,0.330,0.7504617657923901,19678
56,16,1.375,20,0.001,0.330,0.7738721804511278,21673
57,16,1.4,20,0.001,0.330,0.7688321302979826,24615
58,16,1.425,20,0.001,0.330,0.7776745913818722,24658
59,16,1.45,20,0.001,0.330,0.7453358208955224,21991
60,28,1.02,20,0.001,0.330,0.6040180247840781,34623
61,28,1.05,20,0.001,0.330,0.682011462377519,33809
62,28,1.1,20,0.001,0.330,0.7669102492036725,29075
63,28,1.2,20,0.001,0.330,0.7087751371115174,33001
64,48,1.02,20,0.001,0.330,0.6903060289536376,47740
65,48,1.05,20,0.001,0.330,0.8516473403276275,42942
66,48,1.1,20,0.001,0.330,0.7122659533817348,54467
67,8,1.02,45,0.001,0.330,0.6645721678063204,9950
68,8,1.05,45,0.001,0.330,0.6666055382358335,11507
69,8,1.1,45,0.001,0.330,0.7038281979458451,12064
70,8,1.2,45,0.001,0.330,0.771252492296538,10047
71,8,1.3,45,0.001,0.330,0.7676842889054356,8638
72,8,1.35,45,0.001,0.330,0.7645392749244713,9270
73,8,1.375,45,0.001,0.330,0.7303286384976526,10100
74,8,1.4,45,0.001,0.330,0.735105580693816,10530
75,8,1.425,45,0.001,0.330,0.7435406698564593,10004
76,8,1.45,45,0.001,0.330,0.7720216944080793,9366
77,8,1.5,45,0.001,0.330,0.7754564276303407,9729
78,8,1.7,45,0.001,0.330,0.8118190212373038,10588
79,8,1.85,45,0.001,0.330,0.7704177643959352,10846
80,8,2.0,45,0.001,0.330,0.7483133433283359,10111
81,16,1.02,45,0.001,0.330,0.6344775556393814,21263
82,16,1.05,45,0.001,0.330,0.7565826861147945,26643
83,16,1.1,45,0.001,0.330,0.7426497953107555,23104
84,16,1.2,45,0.001,0.330,0.7432333577176299,21025
85,16,1.3,45,0.001,0.330,0.7483654025779937,22956
86,16,1.35,45,0.001,0.330,0.7496742974129909,23634
87,16,1.375,45,0.001,0.330,0.7581929272356971,19006
88,16,1.4,45,0.001,0.330,0.816654492330168,17157
89,28,1.02,45,0.001,0.330,0.6719242902208202,29550
90,28,1.05,45,0.001,0.330,0.7587752053771472,32291
91,28,1.1,45,0.001,0.330,0.7552063612268081,34078
92,28,1.2,45,0.001,0.330,0.8129577464788732,27648
93,48,1.02,45,0.001,0.330,0.711372989150767,46500
94,48,1.05,45,0.001,0.330,0.745953809783597,51459
95,48,1.1,45,0.001,0.330,0.7988980716253443,46600
96,8,1.02,70,0.001,0.330,0.7153051643192488,11459
97,8,1.05,70,0.001,0.330,0.6826815642458101,10619
98,8,1.1,70,0.001,0.330,0.675403608736942,9813
99,8,1.2,70,0.001,0.330,0.7374815905743741,9723
100,8,1.3,70,0.001,0.330,0.7498153618906942,9173
101,8,1.35,70,0.001,0.330,0.7326696165191741,11095
102,8,1.375,70,0.001,0.330,0.7443171144091678,9788
103,8,1.4,70,0.001,0.330,0.7803676331248816,10054
104,8,1.425,70,0.001,0.330,0.7639173338298269,11574
105,8,1.45,70,0.001,0.330,0.7862120926728198,8931
106,8,1.5,70,0.001,0.330,0.8042439304148347,10011
107,8,1.7,70,0.001,0.330,0.7687203791469195,9245
108,8,1.85,70,0.001,0.330,0.7130723781388478,10621
109,16,1.02,70,0.001,0.330,0.6429093567251462,25489
110,16,1.05,70,0.001,0.330,0.6564942314849275,23465
111,16,1.1,70,0.001,0.330,0.7447118891320205,22246
112,16,1.2,70,0.001,0.330,0.7769690182904069,19476
113,16,1.3,70,0.001,0.330,0.7737377543330821,22305
114,16,1.35,70,0.001,0.330,0.7905027932960894,19315
115,16,1.375,70,0.001,0.330,0.85949177877429,18964
116,28,1.02,70,0.001,0.330,0.7319740500463392,36849
117,28,1.05,70,0.001,0.330,0.7264133456904541,27595
118,28,1.1,70,0.001,0.330,0.7931359607769187,46640
119,28,1.2,70,0.001,0.330,0.766358595194085,25641
120,48,1.02,70,0.001,0.330,0.7711769115442278,52975
121,48,1.05,70,0.001,0.330,0.7692018072289156,55147
122,48,1.1,70,0.001,0.330,0.7551967334818114,41234
123,8,1.02,10,0.001,0.500,0.6024155178723923,71489
124,8,1.05,10,0.001,0.500,0.5967901234567902,19346
125,8,1.1,10,0.001,0.500,0.6244332802352652,18879
126,8,1.2,10,0.001,0.500,0.6896678966789668,22822
127,8,1.3,10,0.001,0.500,0.6824373631719777,15247
128,8,1.35,10,0.001,0.500,0.7486129946985575,19700
129,8,1.375,10,0.001,0.500,0.7350750824075204,16173
130,8,1.4,10,0.001,0.500,0.8297190734351898,14104
131,8,1.425,10,0.001,0.500,0.7920398009950249,15514
132,8,1.45,10,0.001,0.500,0.8481216015818092,14098
133,8,1.5,10,0.001,0.500,0.7511401454455812,13494
134,8,1.7,10,0.001,0.500,0.7458338476731268,13232
135,8,1.85,10,0.001,0.500,0.7647852760736197,27668
136,8,2.0,10,0.001,0.500,0.7148883374689826,14256
137,8,2.2,10,0.001,0.500,0.810914490780844,15532
138,8,2.4,10,0.001,0.500,0.7144441705693862,15935
139,16,1.02,10,0.001,0.500,0.5843351096790185,61567
140,16,1.05,10,0.001,0.500,0.6044064859512316,34748
141,16,1.1,10,0.001,0.500,0.6622238677033198,39630
142,16,1.2,10,0.001,0.500,0.8337009803921569,27914
143,16,1.3,10,0.001,0.500,0.746219512195122,27497
144,16,1.35,10,0.001,0.500,0.7417259897589609,33831
145,16,1.375,10,0.001,0.500,0.7099705304518664,37855
146,16,1.4,10,0.001,0.500,0.6940972651899517,41188
147,16,1.425,10,0.001,0.500,0.7300498753117207,32114
148,16,1.45,10,0.001,0.500,0.7283028265471299,29671
149,16,1.5,10,0.001,0.500,0.7501533930543625,35928
150,28,1.02,10,0.001,0.500,0.6230212295987237,62330
151,28,1.05,10,0.001,0.500,0.6280495280127498,54907
152,28,1.1,10,0.001,0.500,0.7670772676371781,41386
153,28,1.2,10,0.001,0.500,0.7195871221430327,40918
154,48,1.02,10,0.001,0.500,0.6247402518029581,72902
155,48,1.05,10,0.001,0.500,0.764870794734276,69663
156,48,1.1,10,0.001,0.500,0.8106332878919321,87231
157,8,1.02,20,0.001,0.500,0.6322374877330716,14287
158,8,1.05,20,0.001,0.500,0.6342179283355754,23039
159,8,1.1,20,0.001,0.500,0.6530637558918383,17162
160,8,1.2,20,0.001,0.500,0.703153761197693,15031
161,8,1.3,20,0.001,0.500,0.8090483234714004,14349
162,8,1.35,20,0.001,0.500,0.742135248947238,13464
163,8,1.375,20,0.001,0.500,0.7370284458552069,13421
164,8,1.4,20,0.001,0.500,0.7718862535700981,12482
165,8,1.425,20,0.001,0.500,0.7473528687515391,15468
166,8,1.45,20,0.001,0.500,0.7955869592165613,14179
167,8,1.5,20,0.001,0.500,0.731173488314579,13660
168,8,1.7,20,0.001,0.500,0.7466897661180547,16746
169,8,1.85,20,0.001,0.500,0.7248322147651006,36777
170,8,2.0,20,0.001,0.500,0.7527666301836313,16062
171,8,2.2,20,0.001,0.500,0.7415358194308145,14918
172,16,1.02,20,0.001,0.500,0.6304294478527608,44990
173,16,1.05,20,0.001,0.500,0.6369489846458642,40190
174,16,1.1,20,0.001,0.500,0.7326130153999006,31052
175,16,1.2,20,0.001,0.500,0.738873135248428,32649
176,16,1.3,20,0.001,0.500,0.7156826339893552,53785
177,16,1.35,20,0.001,0.500,0.7080166707526354,32127
178,16,1.375,20,0.001,0.500,0.7467983900475668,33400
179,16,1.4,20,0.001,0.500,0.787052810902896,29868
180,16,1.425,20,0.001,0.500,0.7559435364041605,34508
181,16,1.45,20,0.001,0.500,0.7771129394166043,28032
182,28,1.02,20,0.001,0.500,0.6520514390691978,49182
183,28,1.05,20,0.001,0.500,0.7201234567901235,49462
184,28,1.1,20,0.001,0.500,0.8047108673978066,55595
185,28,1.2,20,0.001,0.500,0.716305142578601,43541
186,48,1.02,20,0.001,0.500,0.7354249011857708,75386
187,48,1.05,20,0.001,0.500,0.8227312336611478,61397
188,48,1.1,20,0.001,0.500,0.6776119402985075,75393
189,8,1.02,45,0.001,0.500,0.7147073290703394,14093
190,8,1.05,45,0.001,0.500,0.699009900990099,14905
